time (min),bacterium area (pixels),bacterium area (µm^2)
0,1225,3.3124
1,661,1.7873439999999998
2,674,1.822496
3,677,1.8306079999999998
4,678,1.8333119999999998
5,680,1.83872
6,693,1.8738719999999998
7,688,1.8603519999999998
8,693,1.8738719999999998
9,691,1.868464
10,695,1.8792799999999998
11,707,1.9117279999999999
12,701,1.8955039999999999
13,703,1.900912
14,717,1.9387679999999998
15,715,1.93336
16,720,1.94688
17,731,1.976624
18,722,1.9522879999999998
19,730,1.97392
20,737,1.992848
21,752,2.0334079999999997
22,747,2.019888
23,748,2.022592
24,747,2.019888
25,760,2.05504
26,758,2.049632
27,770,2.08208
28,774,2.0928959999999996
29,782,2.114528
30,782,2.114528
31,790,2.13616
32,788,2.1307519999999998
33,789,2.133456
34,803,2.171312
35,799,2.1604959999999997
36,809,2.1875359999999997
37,819,2.2145759999999997
38,819,2.2145759999999997
39,823,2.225392
40,832,2.2497279999999997
41,834,2.255136
42,841,2.2740639999999996
43,849,2.295696
44,852,2.3038079999999996
45,853,2.3065119999999997
46,859,2.322736
47,869,2.349776
48,879,2.376816
49,886,2.3957439999999997
50,878,2.374112
51,899,2.4308959999999997
52,899,2.4308959999999997
53,907,2.452528
54,915,2.47416
55,911,2.4633439999999998
56,928,2.509312
57,935,2.52824
58,937,2.533648
59,950,2.5688
60,940,2.54176
61,954,2.5796159999999997
62,958,2.590432
63,963,2.6039519999999996
64,973,2.630992
65,980,2.64992
66,977,2.6418079999999997
67,986,2.6661439999999996
68,989,2.6742559999999997
69,997,2.6958879999999996
70,1007,2.722928
71,1010,2.7310399999999997
72,1014,2.741856
73,1022,2.7634879999999997
74,1036,2.801344
75,1038,2.806752
76,1046,2.828384
77,1056,2.8554239999999997
78,1056,2.8554239999999997
79,1078,2.9149119999999997
80,1078,2.9149119999999997
81,1081,2.923024
82,1096,2.963584
83,1107,2.993328
84,1106,2.990624
85,1114,3.012256
86,1121,3.0311839999999997
87,1119,3.0257759999999996
88,1131,3.0582239999999996
89,1155,3.1231199999999997
90,1162,3.142048
91,1158,3.131232
92,1159,3.133936
93,1156,3.1258239999999997
94,1184,3.201536
95,1187,3.2096479999999996
96,1203,3.252912
97,1191,3.2204639999999998
98,1209,3.2691359999999996
99,677,1.8306079999999998
100,680,1.83872
101,693,1.8738719999999998
102,692,1.871168
103,693,1.8738719999999998
104,694,1.8765759999999998
105,693,1.8738719999999998
106,706,1.9090239999999998
107,710,1.9198399999999998
108,709,1.917136
109,720,1.94688
110,714,1.930656
111,725,1.9604
112,730,1.97392
113,729,1.9712159999999999
114,727,1.9658079999999998
115,746,2.017184
116,746,2.017184
117,737,1.992848
118,759,2.052336
119,748,2.022592
120,761,2.057744
121,761,2.057744
122,779,2.106416
123,782,2.114528
124,788,2.1307519999999998
125,782,2.114528
126,778,2.103712
127,805,2.17672
128,796,2.1523839999999996
129,798,2.1577919999999997
130,797,2.1550879999999997
131,812,2.195648
132,812,2.195648
133,822,2.2226879999999998
134,822,2.2226879999999998
135,830,2.2443199999999996
136,836,2.260544
137,838,2.265952
138,843,2.2794719999999997
139,1225,3.3124
140,852,2.3038079999999996
141,863,2.3335519999999996
142,864,2.3362559999999997
143,876,2.3687039999999997
144,866,2.3416639999999997
145,881,2.382224
146,886,2.3957439999999997
147,894,2.417376
148,892,2.411968
149,904,2.444416
150,903,2.441712
151,909,2.4579359999999997
152,908,2.4552319999999996
153,922,2.4930879999999997
154,926,2.503904
155,928,2.509312
156,939,2.539056
157,945,2.5552799999999998
158,948,2.563392
159,962,2.601248
160,965,2.6093599999999997
161,964,2.6066559999999996
162,973,2.630992
163,976,2.6391039999999997
164,979,2.647216
165,988,2.6715519999999997
166,992,2.682368
167,1007,2.722928
168,1023,2.7661919999999998
169,1012,2.7364479999999998
170,1024,2.768896
171,1026,2.774304
172,1036,2.801344
173,1050,2.8392
174,1057,2.858128
175,1064,2.8770559999999996
176,1060,2.86624
177,1072,2.898688
178,1073,2.901392
179,1091,2.950064
180,1104,2.985216
181,1103,2.982512
182,1112,3.0068479999999997
183,1123,3.0365919999999997
184,1128,3.050112
185,1137,3.074448
186,1143,3.0906719999999996
187,1149,3.106896
188,1171,3.166384
189,1184,3.201536
190,1181,3.193424
191,1189,3.2150559999999997
192,1197,3.2366879999999996
193,1210,3.2718399999999996
194,1215,3.28536
195,1220,3.2988799999999996
196,663,1.792752
197,685,1.8522399999999999
198,676,1.827904
199,687,1.857648
200,690,1.8657599999999999
201,695,1.8792799999999998
202,704,1.903616
203,699,1.8900959999999998
204,702,1.898208
205,712,1.9252479999999998
206,711,1.9225439999999998
207,717,1.9387679999999998
208,726,1.963104
209,734,1.9847359999999998
210,737,1.992848
211,733,1.9820319999999998
212,752,2.0334079999999997
213,750,2.028
214,749,2.025296
215,754,2.0388159999999997
216,755,2.04152
217,765,2.0685599999999997
218,764,2.0658559999999997
219,779,2.106416
220,769,2.079376
221,789,2.133456
222,787,2.1280479999999997
223,801,2.165904
224,807,2.1821279999999996
225,806,2.179424
226,813,2.198352
227,808,2.1848319999999997
228,808,2.1848319999999997
229,817,2.209168
230,823,2.225392
231,830,2.2443199999999996
232,839,2.268656
233,844,2.2821759999999998
234,857,2.317328
235,853,2.3065119999999997
236,855,2.3119199999999998
237,859,2.322736
238,873,2.360592
239,875,2.3659999999999997
240,881,2.382224
241,885,2.3930399999999996
242,892,2.411968
243,898,2.4281919999999997
244,906,2.449824
245,902,2.439008
246,911,2.4633439999999998
247,909,2.4579359999999997
248,932,2.5201279999999997
249,926,2.503904
250,937,2.533648
251,939,2.539056
252,948,2.563392
253,956,2.5850239999999998
254,953,2.5769119999999996
255,968,2.617472
256,962,2.601248
257,976,2.6391039999999997
258,978,2.6445119999999998
259,984,2.660736
260,997,2.6958879999999996
261,998,2.6985919999999997
262,1006,2.720224
263,1010,2.7310399999999997
264,1016,2.747264
265,1023,2.7661919999999998
266,1029,2.782416
267,1027,2.777008
268,1053,2.8473119999999996
269,1054,2.8500159999999997
270,1065,2.8797599999999997
271,1070,2.89328
272,1074,2.904096
273,1086,2.9365439999999996
274,1071,2.895984
275,1090,2.9473599999999998
276,1099,2.9716959999999997
277,1106,2.990624
278,1115,3.01496
279,1123,3.0365919999999997
280,1132,3.0609279999999996
281,1131,3.0582239999999996
282,1143,3.0906719999999996
283,1156,3.1258239999999997
284,1158,3.131232
285,1171,3.166384
286,1165,3.1501599999999996
287,1187,3.2096479999999996
288,1186,3.2069439999999996
289,1192,3.223168
290,1195,3.23128
291,1224,3.3096959999999997
292,1223,3.3069919999999997
293,1236,3.342144
294,1250,3.38
295,1253,3.3881119999999996
296,1261,3.409744
297,1271,3.436784
298,1291,3.4908639999999997
299,1194,3.228576
300,669,1.808976
301,678,1.8333119999999998
302,681,1.841424
303,694,1.8765759999999998
304,691,1.868464
305,688,1.8603519999999998
306,700,1.8927999999999998
307,703,1.900912
308,708,1.914432
309,711,1.9225439999999998
310,720,1.94688
311,722,1.9522879999999998
312,724,1.9576959999999999
313,736,1.990144
314,731,1.976624
315,735,1.9874399999999999
316,745,2.01448
317,745,2.01448
318,754,2.0388159999999997
319,760,2.05504
320,768,2.076672
321,766,2.0712639999999998
322,776,2.0983039999999997
323,769,2.079376
324,779,2.106416
325,786,2.1253439999999997
326,785,2.1226399999999996
327,795,2.14968
328,807,2.1821279999999996
329,807,2.1821279999999996
330,823,2.225392
331,814,2.201056
332,823,2.225392
333,834,2.255136
334,829,2.241616
335,832,2.2497279999999997
336,841,2.2740639999999996
337,844,2.2821759999999998
338,855,2.3119199999999998
339,855,2.3119199999999998
340,869,2.349776
341,871,2.355184
342,880,2.37952
343,884,2.390336
344,880,2.37952
345,890,2.40656
346,903,2.441712
